repo,n_health_files_touched,n_distinct_file_owners,bus50_file_centric,bus80_file_centric,health_docs_touch_bus50,health_docs_touch_bus80
AdminLTE,5,2,1,1,2,3
AspNetCore.Docs,5,2,1,1,4,10
Chart.js,3,3,2,3,3,6
DefinitelyTyped,7,5,2,4,4,25
FFmpeg,6,3,1,2,4,23
FreeRDP,5,2,1,1,1,2
Ghost,6,5,2,4,2,7
HanLP,2,1,1,1,1,1
Marlin,6,3,1,2,2,10
PHPMailer,4,1,1,1,1,1
Rocket.Chat,7,4,1,3,1,5
TypeScript,7,4,1,3,7,19
Vue-core,5,2,1,1,1,2
WordPress,2,1,1,1,2,3
airflow,10,5,2,3,6,34
angular,8,7,3,6,5,13
animate.css,6,4,1,3,2,5
ansible,5,5,3,4,6,12
ant-design,11,3,2,2,4,9
ardupilot,5,4,2,3,8,16
aspnetcore,5,4,2,3,5,15
axios,8,3,1,2,5,51
azure-quickstart-templates,1,1,1,1,1,3
bitcoin,8,6,2,5,3,10
bootstrap,7,2,1,1,1,10
core,6,6,3,5,8,16
d3,3,1,1,1,1,2
darknet,1,1,1,1,1,1
django,8,4,1,3,77,128
dubbo,7,3,1,2,3,14
echarts,6,4,2,3,2,4
elasticsearch,7,6,3,5,8,30
electron,6,5,2,4,4,13
erpnext,3,3,2,3,2,10
etcd,10,4,1,2,5,25
flask,10,1,1,1,1,3
flink,3,3,2,3,8,18
flutter,8,5,1,4,27,76
framework,12,4,1,2,2,3
gitignore,2,2,1,2,4,7
go,11,8,3,6,14,27
go-ethereum,5,5,3,4,10,26
godot,7,4,2,3,1,6
grafana,12,8,2,6,1,20
grpc,10,4,1,3,4,11
guava,6,5,2,4,1,2
homebrew-cask,4,4,2,4,5,14
html5-boilerplate,7,2,1,2,2,7
imgui,4,2,1,2,1,2
ionic-framework,7,4,1,3,2,3
java-design-patterns,4,2,1,2,5,17
jekyll,7,5,2,4,1,1
jenkins,7,3,2,2,3,10
jquery,9,2,1,2,2,2
juice-shop,6,1,1,1,1,2
kafka,5,3,2,2,5,21
kubernetes,5,5,3,4,9,15
lantern,1,1,1,1,1,2
laravel,2,2,1,2,2,3
markdown-here,3,2,1,2,1,1
material-ui,9,2,1,1,3,10
metasploit-framework,9,6,2,5,4,8
minimal-mistakes,5,3,1,2,2,2
moby,8,4,1,3,2,6
mybatis-3,6,2,1,1,1,2
netty,9,3,2,2,2,6
nixpkgs,6,6,3,5,14,45
node,11,4,1,3,6,44
numpy,7,7,4,6,8,24
odoo,5,4,2,3,4,8
ohmyzsh,5,3,2,2,5,15
opencv,5,4,2,3,3,7
openssl,10,3,1,1,6,19
pandas,8,6,2,5,13,26
pdf.js,4,4,2,4,2,5
protobuf,6,5,2,4,4,13
qmk_firmware,4,2,1,2,1,3
rails,6,3,1,2,11,19
react,9,6,2,5,7,27
react-native,9,8,4,7,7,18
react-router,11,5,2,3,109,281
redis,11,9,4,7,4,17
reveal.js,4,2,1,2,1,1
rust,9,8,4,7,19,125
scrapy,6,3,1,2,2,7
shadowsocks-android,5,2,1,1,1,2
shadowsocks-windows,4,2,1,2,1,2
socket.io,9,1,1,1,1,1
spark,3,3,2,3,3,7
spring-boot,7,3,1,2,5,16
spring-framework,6,3,1,2,5,11
symfony,10,4,2,3,1,3
terraform,9,8,4,7,4,13
three.js,8,5,1,4,3,11
todomvc,4,1,1,1,1,1
vscode,4,3,1,3,8,19
youtube-dl,6,4,1,3,1,1
zxing,3,1,1,1,2,5
