outcome,predictor,coef,p_value,n
contributor_growth_y1_y5,entropy_norm,0.9580842858673605,0.36421037770948167,98
contributor_growth_y1_y5,active_window_rate,0.728267301690037,0.2279636726279103,98
contributor_growth_y1_y5,log_bus50,1.0900151403674379,3.631062528232733e-07,98
contributor_growth_y1_y5,participation_rate,5.938743447794196,3.139884983849787e-11,98
maintainer_turnover_rate,entropy_norm,0.010714022601312212,0.866674638776103,99
maintainer_turnover_rate,active_window_rate,0.007618902989988852,0.8359286087423424,99
maintainer_turnover_rate,log_bus50,-0.008033817408513506,0.5623536346587742,99
maintainer_turnover_rate,participation_rate,-0.02979054340296977,0.5963530627436622,99
log_staleness,entropy_norm,-1.8001061768237405,0.010137714784834124,100
log_staleness,active_window_rate,-1.1923130549514962,0.003109507504902841,100
log_staleness,log_bus50,-0.116981268297811,0.45143398589053263,100
log_staleness,participation_rate,-1.8010747983241806,0.0018264266967640767,100
activity_trend,entropy_norm,-0.006262008751485939,0.7017823589616008,100
activity_trend,active_window_rate,-5.0604936519374304e-05,0.9957382929467063,100
activity_trend,log_bus50,0.0033697324614139846,0.34462596554678804,100
activity_trend,participation_rate,0.042795805320016284,0.0012373862193565696,100
